,date,period,demand_mw,bid_price,cumulative_bid_volumn
422,2023-01-09,40,6828.059,3101.0,6843.700000000001
423,2023-01-09,41,6777.41,1100.0,6781.299999999998
424,2023-01-09,42,6708.814,900.0,6746.299999999999
425,2023-01-09,43,6649.09,822.46,6654.3
426,2023-01-09,44,6518.21,3101.0,6527.7
427,2023-01-09,45,6364.03,410.48,6375.900000000001
428,2023-01-09,46,6211.337,330.48,6215.3
429,2023-01-09,47,6067.316,250.0,6078.6
430,2023-01-09,48,5939.558,191.0,5956.000000000001
431,2023-01-10,1,5804.279,207.44,5808.700000000001
432,2023-01-10,2,5698.269,199.67,5702.499999999999
433,2023-01-10,3,5649.563,199.87,5679.3
434,2023-01-10,4,5588.576,179.2,5595.1
435,2023-01-10,5,5530.77,134.7,5534.6
436,2023-01-10,6,5491.393,186.9,5492.300000000001
437,2023-01-10,7,5471.07,186.9,5471.9
438,2023-01-10,8,5500.14,191.0,5500.500000000001
439,2023-01-10,9,5494.892,179.2,5497.400000000001
440,2023-01-10,10,5496.005,119.87,5497.700000000001
441,2023-01-10,11,5579.725,119.2,5582.2
442,2023-01-10,12,5751.905,189.2,5753.8
443,2023-01-10,13,5946.232,199.67,5949.200000000001
444,2023-01-10,14,6129.074,199.87,6141.1
445,2023-01-10,15,6320.513,200.0,6328.4
446,2023-01-10,16,6545.694,319.5,6548.3
447,2023-01-10,17,6732.382,328.0,6742.6
448,2023-01-10,18,6822.518,387.0,6832.7
449,2023-01-10,19,6855.553,306.24,6867.000000000001
450,2023-01-10,20,6937.966,387.0,6942.7
451,2023-01-10,21,6977.607,305.42,6994.0
452,2023-01-10,22,6960.624,299.67,6971.200000000001
453,2023-01-10,23,6942.18,305.42,6957.5
454,2023-01-10,24,6913.384,299.87,6915.099999999999
455,2023-01-10,25,6853.844,299.87,6883.400000000001
456,2023-01-10,26,6879.211,299.87,6893.2
457,2023-01-10,27,6948.477,306.24,6973.3
458,2023-01-10,28,6935.342,299.97,6942.5
